iter	Passed	Remaining
1012	58171	10738
1013	58228	10681
1014	58286	10623
1015	58345	10566
1016	58407	10509
1017	58464	10452
1018	58525	10395
1019	58588	10339
1020	58646	10281
1021	58707	10225
1022	58765	10167
1023	58824	10110
1024	58879	10052
1025	58939	9995
1026	58995	9937
1027	59041	9878
1028	59098	9821
1029	59161	9764
1030	59224	9707
1031	59283	9650
1032	59341	9593
1033	59396	9535
1034	59455	9478
1035	59511	9420
1036	59565	9362
1037	59628	9306
1038	59677	9247
1039	59727	9188
1040	59781	9130
1041	59832	9072
1042	59886	9014
1043	59944	8957
1044	60006	8900
1045	60065	8843
1046	60122	8785
1047	60185	8729
1048	60244	8671
1049	60302	8614
1050	60359	8557
1051	60419	8500
1052	60472	8442
1053	60530	8384
1054	60590	8327
1055	60648	8270
1056	60694	8211
1057	60742	8152
1058	60802	8095
1059	60855	8037
1060	60902	7978
1061	60958	7921
1062	61016	7863
1063	61067	7805
1064	61120	7747
1065	61170	7689
1066	61225	7631
1067	61283	7574
1068	61342	7517
1069	61406	7460
1070	61467	7403
1071	61529	7346
1072	61589	7289
1073	61635	7230
1074	61687	7172
1075	61737	7114
1076	61791	7056
1077	61850	6999
1078	61908	6942
1079	61969	6885
1080	62024	6827
1081	62081	6770
1082	62133	6712
1083	62187	6654
1084	62240	6596
1085	62298	6539
1086	62351	6481
1087	62406	6424
1088	62464	6366
1089	62521	6309
1090	62576	6251
1091	62634	6194
1092	62689	6137
1093	62746	6079
1094	62808	6022
1095	62854	5964
1096	62899	5905
1097	62944	5847
1098	62991	5789
1099	63036	5730
1100	63084	5672
1101	63137	5614
1102	63192	5557
1103	63248	5499
1104	63310	5442
1105	63381	5386
1106	63439	5329
1107	63501	5272
1108	63561	5215
1109	63619	5158
1110	63675	5100
1111	63736	5043
1112	63799	4987
1113	63865	4930
1114	63929	4873
1115	63992	4816
1116	64048	4759
1117	64106	4701
1118	64165	4644
1119	64223	4587
1120	64285	4530
1121	64343	4473
1122	64398	4415
1123	64454	4358
1124	64512	4300
1125	64571	4243
1126	64630	4186
1127	64691	4129
1128	64754	4072
1129	64815	4015
1130	64877	3958
1131	64939	3900
1132	64997	3843
1133	65054	3786
1134	65110	3728
1135	65169	3671
1136	65218	3613
1137	65268	3555
1138	65326	3498
1139	65385	3441
1140	65450	3384
1141	65514	3327
1142	65571	3269
1143	65628	3212
1144	65668	3154
1145	65708	3096
1146	65759	3038
1147	65817	2981
1148	65872	2923
1149	65932	2866
1150	65989	2809
1151	66049	2752
1152	66108	2694
1153	66169	2637
1154	66227	2580
1155	66284	2522
1156	66342	2465
1157	66398	2408
1158	66456	2350
1159	66515	2293
1160	66574	2236
1161	66635	2179
1162	66688	2121
1163	66748	2064
